Content,Video title,Video publish time,Dislikes,Likes,Average percentage viewed (%),Average view duration,RPM (USD),Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
T5woa58UdFo,Every Pokemon Banned in Competitive Monotype Pokemon So Far,"Dec 20, 2022",54,3920,62.47,0:05:13,4.113,107746,9385.7047,90,1163743,6.88
UCzlAHYwU9s,I Investigated Pokemon's Acid Rain Glitch. It's Stranger Than You Think.,"Nov 27, 2022",54,5815,57.4,0:05:30,4.958,121623,11169.1258,158,1639726,5.39
aSJqKOAUqqc,I Was Wrong. (and so was everyone else),"Dec 27, 2022",54,5991,78.18,0:02:19,2.726,128099,4979.7305,68,882527,10.66
TVM5qAfX-Y4,Why Mega Garchomp is Worse Than Garchomp,"Feb 4, 2022",53,5822,82.3,0:01:19,1.508,144132,3196.0013,1022,849080,11.76
lJGWOt7ZVTM,"The ""Gym Leader"" Team Type is Actually Good in Competitive Pokemon. Here's Why.","Feb 25, 2022",53,6704,71.47,0:02:33,2.38,151848,6481.1972,224,1024634,10.3
miOlOddDgCk,Why Espathra is the Best Matchwinner in Competitive Singles Pokemon,"Nov 29, 2022",53,4922,54.77,0:04:23,3.857,121761,8909.8663,915,1315303,6.8
czOyMKBpEyU,Why Was Moltres-G Banned in Competitive UU Pokemon?,"May 6, 2022",52,4396,68.88,0:03:05,2.513,98099,5049.3093,807,677551,10.82
ySfL5-vJXXw,Explaining the Best Competitive Pokémon Games from Week 1 of Smogon Champion's League,"Sep 13, 2022",52,6120,63.66,0:05:06,4.107,113165,9646.0739,276,1271602,6.36
4GWCP_mZWzY,How a Bug Made Cryogonal Overpowered,"Oct 13, 2022",51,5552,76.69,0:03:06,3.393,106270,5501.4695,408,764291,10.47
4S6Wv_t5bzs,Competitive Hacked Pokemon Wants to Ban Nuzzle. Here's Why.,"Jun 16, 2022",51,4605,72.7,0:02:41,2.505,105224,4717.6686,421,685645,11.51
6elT8LHfMbE,The Tragic Fall of Weavile in Competitive Singles Pokemon,"Dec 2, 2022",51,4992,74.44,0:02:35,3.085,126983,5487.7343,135,1002613,9.55
HApsq5pOBeo,THE VOTES ARE IN! Did Terastalization Get Banned?,"Jan 4, 2023",51,4367,73.06,0:01:24,1.351,110201,2571.8736,51,705832,11.47
uzlMAlJVwrc,I Commentated the MOST VIEWED Pokemon Showdown Game of 2022,"Dec 22, 2022",51,4171,56.82,0:04:39,3.366,97539,7559.5404,62,957190,7.37
0RmLjNM2pcs,Why Darkrai is Controversial in Competitive Gen 6 Pokemon,"Oct 31, 2022",50,4532,64.43,0:05:13,3.395,104251,9085.8922,278,1181747,6.31
xWPRHAgkw9o,I Use HYPER BEAM TORNADUS ($1600 Tournament) | Competitive Pokemon Showdown,"Feb 24, 2022",50,3270,47.52,0:06:52,3.772,92342,10568.6986,206,1022369,6.02
7HBdDKvBIm8,How Blissey Became Better Than Chansey,"Jan 28, 2022",49,5050,73.38,0:01:51,1.463,145584,4510.5041,391,917038,10.89
f-D_p0WkJr8,We Can Get Magikarp to OU on Pokemon Showdown. Here's How.,"Jan 1, 2022",49,3030,48.99,0:03:36,2.062,62588,3764.8466,141,539784,8.03
hkZDga7lFCg,How Sun Became the Best Weather in Competitive Singles Pokemon,"Dec 19, 2022",49,4891,60.95,0:04:54,3.369,124287,10163.2781,341,1170018,7.91
 -q6lzs4-vuA,Why Was Darmanitan-Galar Banned in Competitive Pokemon?,"Mar 17, 2022",48,5580,84.46,0:02:04,1.852,122932,4239.4203,511,813094,10.78
NHzkAAaSfIg,Cottonee Was BANNED in This Competitive Pokemon Tier. Here's Why.,"Apr 16, 2022",48,7007,75.49,0:02:52,2.277,167491,8008.0567,183,1175419,10.79
T-CK-RRJ4oI,How the Teal Mask DLC Made Baxcalibur Overpowered,"Sep 18, 2023",48,4957,69.67,0:03:41,3.157,143736,8845.5543,179,1295211,8.38
pe-14x4zsjg,The Fall of the Best Mythical Pokémon,"Oct 20, 2023",48,5006,54.75,0:05:23,3.781,123680,11115.2742,120,1354278,7.42
LorM-O2NBk8,Why Abra Used Physical Attacks in Gen 8,"Feb 17, 2022",47,6628,87.07,0:01:10,1.297,181014,3546.388,247,1158249,10.97
Qmz9J0-CO8s,Why Your Pokemon Should be Female With Pokemon Home,"Jun 3, 2023",47,4121,56.94,0:03:12,2.379,107246,5732.8688,53,858948,8.97
MiXJF9SgaKo,Why Girafarig is a Top Pokemon for the E4 in a HGSS Hardcore Nuzlocke,"May 4, 2022",46,7569,65.21,0:03:41,2.36,115700,7104.7014,852,939309,9.05
PvM8jXl3I-U,Why Weavile is Great in Ubers,"Mar 16, 2022",46,6652,74.96,0:03:01,2.512,143506,7230.8844,891,1019488,10.09
lNoRARSrsgU,Lucario Uses Copycat in  Competitive Gen 4 Pokemon. Here's Why.,"Mar 14, 2022",46,5971,76.66,0:02:24,2.81,120126,4809.1958,884,703550,11.52
MO7igkuX1-c,What is the LEAST Used Pokemon in Competitive Pokemon? (OU),"Aug 1, 2022",45,3745,89.43,0:00:33,1.343,83691,769.265,62,564611,11.35
MQCxFynpIyM,The Unfortunate Fate of Celebi in Competitive Pokemon,"Mar 6, 2022",45,6026,83.88,0:01:59,1.836,128332,4275.8969,261,852178,10.8
VIKYPVeEAUo,February Update: The Rise of ORTHWORM!,"Feb 2, 2023",45,3729,59.96,0:06:11,2.935,102851,10620.1238,95,1249056,5.94
xnloa8MLqAs,Why Teleport is one of the Best Competitive Moves in Pokemon,"Feb 10, 2022",45,5319,71.29,0:02:36,2.432,120699,5234.8243,287,770002,10.44
xrQpdICqTOo,I Played in the Pokemon World Championship in Japan,"Sep 2, 2023",45,7029,46.42,0:10:58,5.533,142294,26014.9658,380,2390058,3.92
ycEKM-Jd8tQ,3 Ways To Dominate With The WORST Tera Type,"Apr 29, 2023",45,4652,88.36,0:00:37,0.079,76410,806.4782,28,459008,5.77
Ev6GnVKRjkI,How I Little Nuzlocke Kanto in Pokémon HeartGold,"Aug 11, 2022",44,5642,58.23,0:05:09,2.416,86077,7393.026,287,1153240,5.02
aLMOEXDPEN4,Baton Pass is Now Banned in Gen 5 on Pokemon Showdown!,"Jan 16, 2022",44,1616,60.76,0:01:53,1.7,60035,1894.7047,95,290788,14.08
kl_mVC8nNOQ,3 More Bans! (Scarlet and Violet Singles),"Jan 11, 2023",44,3353,70.65,0:04:01,2.389,89050,5976.9953,60,797358,8.19
rA47tmmEg_c,The Startling Rise of Woobat in Little Cup,"Mar 30, 2022",44,5907,77.9,0:02:55,2.677,127107,6188.4249,386,911805,9.85
vxf8_mPa4Fk,Sandshrew-Alola is Banned in Competitive NU Pokemon. Here's Why.,"Feb 5, 2022",44,4532,85.75,0:01:17,1.342,126783,2717.9086,335,704219,12.84
R2IJx9l4Ctg,Corviknight is Better Than Skarmory in Competitive Pokemon. Here's Why.,"Feb 27, 2022",43,4515,86.15,0:01:34,1.812,118546,3120.4016,173,681622,12.36
4L0ixe3loHg,How We Conquered the 7-Star Charizard Raid,"Dec 2, 2022",42,2737,55.69,0:05:43,4.551,68162,6504.5213,63,915453,5.46
WkTlzfCRoi0,How Ursaluna Makes Full Trick Room Viable For the First Time,"Jun 9, 2023",42,5043,63.83,0:05:07,4.182,127925,10933.0305,105,1384904,6.31
fWDyjwFsVAo,Wow! The Craziest Pokemon Game I've Ever Seen,"Apr 28, 2022",42,2596,105.26,0:00:34,1.399,41315,398.6313,86,270143,11.39
fm-t-TH-GQA,The Reason Why Kyurem Is Banned | Pokemon Showdown,"Jan 9, 2022",42,2200,84.41,0:01:04,1.267,62240,1109.0896,141,290153,14.87
nKydzX-Vzjc,What If There Was Item Clause in Competitive Singles Pokemon?,"Apr 14, 2022",42,4732,54.48,0:04:10,2.27,105116,7317.412,188,906795,8.56
nv5beqtdyvs,The Xerneas That Only Uses 3 Moves in Competitive Ubers Pokemon,"Jun 4, 2022",42,5207,66.31,0:03:34,2.474,114661,6842.6503,95,836357,10.38
rWw8bvigN-I,Are the New Paradox Pokémon Good Competitively?,"Mar 1, 2023",42,4319,50.42,0:05:46,4.012,122370,11774.6049,107,1292958,6.93
-3st7RmZtmc,How to DESTROY Whitney in a HGSS Hardcore Nuzlocke,"May 13, 2022",41,4160,66.97,0:03:32,2.103,76416,4506.0628,97,614417,9.23
zlgZIv0f68Y,A NEW Greatest Pokémon of All Time? The Future of Scarlet and Violet,"Dec 21, 2022",41,3055,78.04,0:02:28,3.158,71195,2932.185,28,562306,9.26
3EDSsoIplr4,The Garganacl Menace: Overpowered or Overrated?,"Mar 2, 2023",40,4334,63.99,0:04:38,2.681,105275,8140.4454,80,1000516,7.64
BOFNI5O6ZCA,Why Moody Was Banned in Competitive Pokémon (Smogon),"Aug 7, 2022",40,4518,81.48,0:01:59,1.96,96343,3205.4352,161,798298,8.74
FXvXJ6jY4VU,"Why Competitive Pokémon Once Had a ""No Scald"" Ladder","Mar 9, 2022",40,5486,73.77,0:02:57,2.615,140492,6938.1046,321,1041730,9.59
Q8Hj3iW5g70,Chien-Pao and Espathra Banned!,"Feb 12, 2023",40,3695,78.24,0:02:20,2.078,84729,3296.0983,51,621118,9.49
j2HXbpSC-9g,Competitive Hacked Pokemon Just Banned... Substitute?!,"Jul 28, 2023",40,5017,58.94,0:04:12,1.985,138522,9706.4021,103,1214501,8.23
wPXLdLCqS4I,Why Was Dracovish Banned in Competitive Pokemon? Smogon,"Mar 2, 2022",40,7729,87.14,0:01:21,1.459,168849,3841.938,264,1041621,11.86
2l2zw0yr2Zo,The HARDEST Pokemon to Get Competitively in Pokemon Scarlet and Violet,"Mar 4, 2023",39,2621,89.65,0:00:45,0.07,47984,609.4427,13,273084,5.03
7DfgWEJa3fQ,When Tornadus Fights Zapdos in Competitive Pokemon,"Feb 24, 2022",39,1926,69.7,0:00:41,1.275,39559,459.544,37,264634,10.28
Yj9UOAFaCqs,Top 3 Competitive Pokémon Strategies at the Orlando Regionals,"Feb 11, 2023",39,3450,75.61,0:00:41,0.068,58564,676.5115,33,526363,6.01
jWzdk6SfebY,Competitive Pokemon Changes Every 3 Months. Here's What Happened in April 2022.,"Apr 1, 2022",39,4925,59.28,0:05:27,3.465,133458,12130.3185,240,1532192,5.77
sPfQ-dVo4dE,How Competitive Pokemon made Gamefreak Nerf Paralysis and Confusion,"May 18, 2022",39,5511,67.85,0:03:32,2.988,98049,5784.3727,139,767359,9.61
vvZSojhJTGo,Aromatisse is Actually Amazing in Competitive 1v1 Pokemon. Here's Why.,"Mar 25, 2022",39,5717,81.71,0:02:13,2.036,115398,4269.5043,339,766797,10.92
BNYwSvwSZO8,What if There was a Trick Room Ability in Competitive Pokemon?,"May 5, 2022",38,4099,57.37,0:03:59,2.448,92945,6191.3067,162,780835,8.83
EH-ktMpvS-k,What if There was a Speed Orb in Competitive Pokemon?,"Apr 21, 2022",38,4805,52.38,0:04:20,2.903,110588,8012.7154,217,840406,9.75
UkePPitSHGY,What If You Could Use Any Ability in Competitive Pokemon?,"May 23, 2022",38,8545,79.33,0:02:07,2.105,74768,2652.6914,78,580491,10.07
HbOOePa62XU,How Drifloon Unexpectedly Broke Little Cup Competitive Pokemon,"Jul 11, 2022",37,5360,74.59,0:03:28,2.617,114064,6593.3901,365,872335,9.71
mhamjQdtndo,Pro Explains How To Beat Stall,"Jun 1, 2024",37,4092,49.88,0:06:05,3.193,107400,10892.0824,165,1080743,6.78
nuuMb0-XWZU,Raikou DOESN'T Use Max Speed in Competitive Gen 2 Pokemon. Here's Why.,"Mar 16, 2022",37,4261,82.83,0:01:59,1.985,82791,2742.866,480,609754,9.61
3cvk3FiX69g,"""Farceus"" Almost Transformed Competitive Gen 4 Ubers Pokemon. Here's What Happened.","Feb 20, 2022",36,4599,78.69,0:01:39,1.639,120607,3348.1552,264,695990,12.08
JPjD9Kr00kw,Will 7-Star Charizard Be Good in Competitive Singles Pokemon?,"Dec 9, 2022",36,3351,57.93,0:04:40,3.436,89744,6989.4452,52,917440,7.36
c274g80EysE,Introducing: The Tournament Pass,"May 6, 2022",36,1079,59.72,0:00:53,4.285,16324,241.0267,37,192179,5.79
mVCO0HPl7X4,9 Years Later: The Fall of Greninja,"May 10, 2023",36,3543,65.45,0:04:53,2.862,84095,6864.54,68,954568,6
p6M9qfAB1H0,Why Agility + Wrap Was Banned in Competitive Gen 1 UU Pokemon,"Jul 15, 2022",36,3522,59.22,0:03:40,2.601,76393,4687.2368,234,693482,8.09
rpBIwT1pzSg,Explaining the Best Competitive Pokémon Games from Week 2 of Smogon Champion's League,"Sep 20, 2022",36,4443,60.95,0:06:52,5.207,98347,11256.1216,345,1211922,5.72
tP2FujneRtI,Ranking Every Dexited Starter Based on Competitive Pokemon Singles,"Feb 11, 2022",36,1276,47.07,0:05:49,3.931,27525,2670.2736,93,359667,5.35
3tNX_31ZpU4,The Unexpected Rise of Indeedee Armarouge,"Mar 21, 2023",35,3691,60.69,0:03:43,2.654,77292,4794.4078,39,618099,9.06
KNsULFi2ca8,Leppa Berry Was Once Banned on Pokemon Showdown. Here's Why.,"Feb 6, 2022",35,5464,82.98,0:01:43,1.644,155062,4467.7845,281,965383,11.2
Kzflhe6FUmk,CONKELDURR: MAXIMUM STALL DESTRUCTION (He Regret Using Stall),"Mar 13, 2022",35,2155,46.57,0:07:45,4.281,51062,6605.0636,144,721144,4.85
jy_Yg2rPIMc,The Worst Restricted Legendary: Why Zamazenta Dropped to OU,"Aug 26, 2023",35,3833,64.77,0:04:04,2.475,97021,6598.4687,67,857700,8.1
pzTKVMaTZ3Y,Snorlax is the Best Pokemon in Competitive Gen 2. Here's Why.,"Apr 18, 2022",35,5043,71.6,0:03:39,2.545,88681,5414.4289,377,798606,8.21
CCpFYpLoniU,Can I get Master Rank in Competitive Singles Pokemon?,"Dec 9, 2022",34,1669,18.45,0:10:35,6.096,63342,11175.246,151,1105575,4.07
w9bt4qppYRE,I Put 1000 People on the Same Pokemon Showdown Account,"Sep 28, 2022",34,4661,54.06,0:04:20,4.043,62214,4503.4704,236,615455,6.96
eovQLi-hRJI,Clefable DOESN'T Use Magic Guard in Competitive BDSP Pokemon. Here's Why.,"Mar 13, 2022",33,4590,80.34,0:01:52,1.898,87321,2728.362,1367,564000,10.3
iBMIG6FHwiQ,Why Was Gengar Banned in Competitive BDSP Pokemon?,"Feb 13, 2022",33,4632,84.62,0:01:36,1.638,119384,3199.242,220,706406,11.43
kgJCNNkrz-U,Adapt or Die! How Offensive Toxapex Became Common in Competitive Singles Pokemon,"Apr 4, 2023",33,5027,62.56,0:03:45,1.906,114155,7161.5641,223,1027072,7.66
w7Tf2j5D7Rs,"The ""Best"" Games of Week 4 of Smogon's Champions League","Oct 5, 2022",33,3341,65.7,0:06:30,4.007,72124,7831.1811,83,946104,5.39
Ak9D4q1qGZI,Why Was Rufflet Banned in Competitive Little Cup Pokemon?,"Apr 4, 2022",32,5019,73.87,0:02:32,2.349,112678,4762.8411,176,757715,10.71
in-HvojFINQ,How to Teambuild for Competitive Little Cup Pokemon for Beginners,"Apr 3, 2022",32,5752,53.35,0:04:39,2.675,85126,6598.2212,451,1040590,5.67
mvJfA-zRWGE,Competitive Gen 2 Pokemon is Actually Offense. Here's Why.,"Mar 4, 2022",32,4245,77.15,0:02:21,2.417,96797,3796.1756,185,665157,10.11
b7UjGw0sWXA,"If I Win, I Go To The Pokemon World Championship","Jul 11, 2023",31,6071,57.79,0:08:39,4.111,97607,14085.1017,259,1527263,4.22
c-t5spSV264,How Flittle Broke Competitive Little Cup Pokémon,"Dec 11, 2022",31,5387,71.4,0:02:54,2.833,147498,7167.2436,140,1088677,10.25
neC1BJ3DqTo,Blissey is BETTER than Chansey in Competitive Gen 7 Ubers Pokemon. Here's Why.,"May 10, 2022",31,4003,75.94,0:02:37,2.601,78973,3465.2349,262,572862,10.53
0akHQmv-Izc,How to Use Hisuian Pokemon on Pokemon Showdown,"Jan 30, 2022",30,1260,60.43,0:00:51,1.213,49603,707.6951,78,284454,10.77
5toeFbWzff4,When Temp6t Fights a Legendary Spammer,"Mar 7, 2022",30,1575,79.01,0:00:39,0.386,29098,319.3134,35,221352,8.59
7yi21mNCUdw,I Fight Air Balloon Heatran ($1600 Tournament) | Competitive Pokemon Showdown,"Feb 15, 2022",30,3207,41.07,0:09:07,4.463,86172,13096.1988,321,1581929,3.59
OAc2KtJLPeQ,Blaziken is NOT Banned in Competitive Pokemon. Here's Why.,"Feb 9, 2022",30,4362,84.48,0:01:38,1.585,107513,2951.8865,224,676953,11.08
Ok9uNozS4lY,Stall Will ALWAYS Be Worse in Little Cup. Here's Why.,"Jan 29, 2022",30,3805,71.17,0:01:48,1.514,85112,2574.4553,498,523653,11.07
c6dvNszKi40,Why Skeledirge is the Best Non-Legendary in Ubers,"Aug 21, 2023",30,4711,64.67,0:04:01,2.515,119842,8030.1896,138,1072826,8.2
oFaKexrUbZQ,Tauros is the Best Pokemon in Competitive Gen 1. Here's Why.,"Feb 3, 2022",30,5319,80.71,0:02:07,1.819,127228,4506.6292,729,918316,9.21
5ildc867Qvs,Why Samurott-H Is On 25% Of Teams,"Sep 12, 2023",29,4208,66.07,0:03:36,3.041,95615,5738.1522,148,849202,8.1
IShUK8iYs6U,Will Cinderace Be Good Competitively? (Singles),"Jan 1, 2023",29,3347,58.65,0:04:46,2.091,97629,7778.3278,68,1168648,6.2
JsPwDpubcLU,Why Most Dragonite Don't Use STAB Moves in Competitive Pokémon,"Jul 31, 2022",29,4902,71.68,0:03:08,2.075,116392,6095.2418,176,979902,9.05
hs7WwylfIZY,What Happens if a Protean Pokemon Uses Curse? Weird Mechanics Explained.,"Feb 3, 2022",29,5667,85.52,0:00:53,1.309,96018,1414.2023,338,535478,12.37
nD6Ha5sKV7Y,How H-Growlithe Broke Little Cup,"Jul 21, 2023",29,5150,59.13,0:05:09,3.256,137327,11797.7385,119,1385574,7.1
BGE-Y8D7R_4,Who's That Pokemon?,"Jan 17, 2022",28,538,87.81,0:00:42,0.58,17546,205.4313,25,93937,12.12
d99YA-6AkKc,You Can Support Aid in Ukraine and Win a Custom Avatar. Here's How.,"Mar 1, 2022",28,1712,52.09,0:00:57,1.071,20779,333.7034,35,159089,9.38
0pXix7LMmJA,The One Tier That BANNED Bibarel in Competitive Pokemon,"Mar 26, 2022",27,4477,81.84,0:01:59,1.893,102107,3388.8991,80,678015,10.6
4ub8FMEEIlo,A Follow-Up to the Hitmontop Controversy in Competitive Singles Pokemon,"May 28, 2022",27,3471,80.1,0:01:16,1.931,70272,1485.4251,41,486704,11.81
R8fpG8tMxCU,Explaining My FIRST Big Pokemon Tournament Game,"Oct 21, 2022",27,4181,69.4,0:03:23,2.933,57485,3247.0679,243,590507,7.2
RQWjZ04HyDE,Why Was Magearna Banned in Competitive Pokemon?,"Mar 18, 2022",27,4121,80.76,0:02:05,1.943,84954,2973.0911,344,589742,10.12
cNJNmM1p3WA,Why Was Quagsire Banned in Competitive Gen 7 UU Pokemon?,"Feb 14, 2022",27,4021,79.5,0:01:39,1.774,93587,2583.3364,342,603012,10.91
e874p95TGFg,Random Battles High Ladder Except I Choke: Top 500 to Top 1 | Pokemon Showdown Episode 2,"Feb 23, 2022",27,1288,35.82,0:11:48,4.762,34406,6768.2748,72,612324,3.56
l5-tsL04I8Y,Why Was Cutiefly Banned in Competitive Little Cup Pokemon?,"Mar 27, 2022",27,4387,79.33,0:02:30,2.658,101818,4262.9012,111,665318,10.15
qZ-bUsedNLQ,Kyurem-Black Used to Be OU In Competitve Pokemon. Here's Why.,"Feb 1, 2022",27,4830,81.27,0:02:01,1.516,131992,4469.3957,367,929627,9.59
rBgiDCnj0ng,Why Was Landorus-I Banned in Competitive Pokemon?,"May 24, 2022",27,4968,73.67,0:02:33,2.79,101606,4324.7667,81,668224,11.73
s-HyyNVxaNw,Why WASN'T Greninja Banned in Competitive Gen 7 Pokemon?,"Feb 24, 2022",27,3722,78.16,0:02:25,2.451,84661,3418.6696,99,531230,11.03
18irHGo-hHs,How to Get Custom Avatars on Pokemon Showdown WITHOUT BEING A MODERATOR,"Feb 18, 2022",26,3313,51.27,0:01:04,1.221,100090,1796.2003,160,464135,12.1
VRdm2fNlGLE,Lucky Ancient Power Kabutops Sweep | Pokemon Showdown #shorts,"Dec 24, 2021",26,1386,81.09,0:00:40,0.065,28587,321.9465,10,395809,4.83
c1bb_YA1lYA,Xerneas' 2nd Best Item in Competitive is Air Balloon. Here's Why.,"Jan 21, 2022",26,3584,87.72,0:01:01,1.282,87725,1496.331,460,479320,12.51
 -FYaUwdULlc,Why Was Snorlax Banned in Competitive 1v1 Pokemon?,"Mar 23, 2022",25,5092,84.81,0:01:46,1.829,111175,3273.7294,263,736980,10.63
OXpmYIa_-0g,Let's Make Smogon's Biggest Tournament Ever,"Apr 3, 2022",25,3086,65.53,0:00:56,1.236,45441,711.3645,112,341712,7.58
jT5Zm8UvKJs,NEVER Underestimate HYPER OFFENSE in Competitive UU Pokemon,"Mar 27, 2022",25,2233,49.28,0:05:09,3.566,51907,4469.4214,77,569405,6.5
x82VSkZOvNg,The Insane Optimization of Ditto in Competitive Pokemon,"Oct 28, 2022",25,4950,78.78,0:03:22,3.703,94394,5308.9193,120,787774,8.79
zlEZ3FPf4Zs,So I Rematched the Staller...,"Apr 26, 2022",25,1409,44.77,0:06:29,3.861,35449,3830.7593,40,435783,6.01
V5MQSQ-kxh8,Excadrill DROPPED to UU in Competitive Pokemon. Here's Why.,"Apr 12, 2022",24,3691,71.43,0:02:56,2.563,78370,3840.5945,119,579077,10.36
_iyJ3LeM9iw,Why Was Urshifu-S Banned in Competitive Pokemon?,"Mar 21, 2022",24,4230,84.09,0:01:36,1.605,102292,2747.6278,106,655381,10.93
c-6O77HtuzA,This Kartana Uses a Timid Nature in Competitive Pokemon. Here's Why.,"Feb 2, 2022",24,4984,85.95,0:01:29,1.419,114167,2834.7714,290,696659,11.37
hF_CMYQzbgY,January Update! Every Pokémon That Dropped to UU | RU Is Here! | Great Tusk is #1 Most Used Pokémon,"Jan 3, 2023",24,3709,60.44,0:06:18,2.518,106040,11143.8535,103,1298335,5.97
m-LYTKCmub0,How Mega Sableye Made Defensive Strategies TOO Strong,"Feb 21, 2022",24,4631,83.37,0:01:55,1.77,118838,3825.3917,279,755887,11.07
oQ5M5GK5ep4,Explaining the Best Competitive Pokémon Games from Week 3 of Smogon Champion's League,"Sep 28, 2022",24,4206,62.33,0:06:38,4.332,94079,10408.917,368,1091333,5.89
wx2lJJoZ7UE,Random Battles ELO Climb: Top 500 to Top 1 | Pokemon Showdown,"Feb 22, 2022",24,2057,36.62,0:07:25,3.713,44198,5472.2196,199,596629,4.81
8Uie1sfsagE,I Hosted a $500 Pokemon Showdown Tournament...,"May 8, 2022",23,1663,54.37,0:02:54,2.604,23529,1140.7134,9,262746,6.68
8Yr9rsQzB2g,Why Great Tusk is the #1 Pokémon in Competitive Singles,"Mar 3, 2023",23,4268,60.97,0:04:02,2.398,102594,6898.2715,94,911049,8.31
Eo5CPZ4KKXU,NEVER Underestimate Keldeo in Competitive Pokemon (Instant Regret),"Mar 6, 2022",23,1530,45.09,0:05:25,3.215,35817,3243.2443,85,427747,5.93
OBSAkpKmhZU,Why 7-Star Decidueye is Terrible Competitively...,"Mar 18, 2023",23,2912,66.6,0:02:54,2.666,67657,3279.3053,42,479776,10.45
XpZY4686EwM,Pokemon Scarlet and Violet Announced! All Pokemon Revealed So Far,"Feb 27, 2022",23,1296,66.93,0:01:08,1.452,27172,515.2579,44,231225,8.31
vbRbW4p3YUM,What Are The Best Random Battle Pokemon? Ft. @PokeaimMD  Kanto Edition,"Sep 9, 2022",23,3225,16.4,0:13:36,7.518,77063,17475.3926,367,979225,4.85
x1j0BOayptM,Why Is Acupressure ONLY Banned in Competitive Monotype Pokemon?,"Mar 28, 2022",23,4899,82.9,0:02:09,1.849,111656,4011.2811,104,681906,11.54
ydCLwThn8s8,I Took the New Competitive Pokémon Personality Quiz,"May 24, 2024",23,1831,26.45,0:04:11,2.841,51676,3614.1773,35,457312,6.93
Kcw2SdpXnPY,How Magearna Broke OU | SECOND Ban of Pokemon Home,"Jun 5, 2023",22,3678,70.23,0:03:04,2.648,91152,4659.1892,60,802351,8.19
MkVXuioCcK0,So Pokemon Showdown Added Metronome Battles...,"Dec 25, 2021",22,1757,69.22,0:01:16,0.891,63354,1352.0852,219,387722,11.07
cfW0kvWWEJA,"""YOLO Skarmory""  Innovated Competitive Gen 3 Pokemon. Here's How.","Feb 26, 2022",22,4633,84.54,0:01:49,1.881,99744,3044.8812,241,592188,11.74
dGu04EIW-l4,Why Zapdos is Terrible in Pokémon BDSP,"Jan 29, 2022",22,4639,82.33,0:01:14,1.392,119123,2451.8028,440,714477,11.38
0TDJBc9V8fU,Why Was Smeargle Banned in this Competitive Pokemon Tier?,"May 10, 2022",21,3452,78.69,0:01:58,1.939,69168,2282.8691,149,477741,10.36
6h34Dgv1Wpg,Why Sleep is Fundamentally Overpowered in Pokémon Black and White,"Mar 8, 2022",21,4058,82.85,0:01:39,1.734,101453,2801.9045,152,677159,10.5
7X628ct4FLg,I Created a $1000 Pokemon Showdown Ladder,"Jun 16, 2023",21,3140,61,0:02:16,2.61,57422,2169.6059,45,489238,7.95
KgJ204Sj3i8,Dragonite's Best Move is WRAP in Competitive Gen 1 Pokemon. Here's Why.,"Feb 7, 2022",21,3657,84.82,0:01:46,1.705,82934,2461.9811,215,634387,8.81
PMx013yIXPg,Top 5 Insights From the Latest Usage Stats,"Apr 2, 2023",21,3578,61.81,0:03:59,2.289,106182,7073.7234,70,953556,8.1
j3TU9yGKebY,Why Ribombee is  Used More Than Most Legendaries,"Dec 1, 2023",21,3314,70.55,0:02:51,3.112,78390,3733.1604,56,856765,7.21
1ZYsdNtwXyc,I Make My Return To The World Cup of Pokemon,"Jun 9, 2022",20,2622,54.47,0:06:22,4.006,58667,6231.52,122,814377,5.17
miavPFPrmjw,Smogon Accidentally Banned Sandslash in Competitive Gen 5. Here's Why.,"Jan 8, 2022",20,3501,80.99,0:02:08,1.445,73294,2621.9024,223,476104,10.09
o0YUDfTgLtI,Why Isn't Urshifu-R Banned in Gen 8 smogon,"Mar 22, 2022",20,3803,82.63,0:01:44,1.764,88412,2556.9066,97,598135,10.32
AFcKrWtXSZw,Why Was Cinderace Banned in Competitive Pokemon?,"Feb 28, 2022",19,3947,86.22,0:01:14,1.583,103728,2136.4821,150,589634,12.04
_QM5jilfWvY,Gen 8 Competitive Pokemon Weather Wars! My Toughest Tournament Series Yet...,"Mar 9, 2022",19,1620,33.34,0:09:54,3.764,47835,7893.339,103,649416,4.94
vp8apXM-yO8,How I Can Become the Pokemon World Champion,"Jul 18, 2023",19,3115,70.2,0:03:42,2.26,47273,2922.0364,82,428911,7.51
5ksIrlnzBq8,Why Leftovers Is Banned on Wobbufet in Competitive Gen 3 Pokemon,"Sep 17, 2022",18,4126,83.96,0:01:39,1.898,71384,1964.4893,72,468659,10.98
HSE-kZ805is,Zarude is a MONSTER,"Mar 21, 2022",18,1307,36.2,0:05:00,3.516,34216,2859.3951,86,422963,5.76
fnk9LrURN-k,The Smogon Champion's League Heats Up! Best of Week 6,"Oct 18, 2022",18,3287,65.62,0:06:19,4.358,74275,7839.4597,78,1017642,5.2
G3lTpIrynCw,The Oricorio Invasion of Competitive Pokémon's Lower Tiers,"Mar 29, 2023",17,3975,60.33,0:04:21,2.46,88474,6435.345,56,886146,7.07
cfn9bDWC2G4,"Why Pokémon RBY Has a ""Freeze Clause""","Feb 22, 2022",17,3108,86.22,0:01:13,1.655,73093,1488.0608,152,424338,11.89
feMnSpQ2yhA,Why Was Greninja Banned in Competitive Gen 6 Pokemon?,"Feb 23, 2022",17,3216,88.5,0:01:20,1.454,70934,1586.8229,97,475787,10.26
