Content,Video title,Video publish time,Average percentage viewed (%),RPM (USD),Average view duration,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
TPBb7o4qblk,GETTING CLOSER  Question Mark| Random Battles Race to Top 10,"Aug 19, 2022",39.05,7.578,0:18:31,25694,7934.0521,46,194.708,362991,4.26
m75E-bhgzso,TOP 200 Ladder Gameplay | Pokemon Scarlet and Violet Random Battles,"Dec 20, 2022",44.44,3.139,0:10:21,25573,4412.9091,37,80.282,303921,6.07
tN7jQOb0E6A,Moving Closer to #1...? | Random Battles to #1:  Pokemon Showdown | Episode 49,"May 11, 2022",50.13,5.316,0:11:03,25543,4705.3798,54,135.781,276334,6.68
X9jXQY1KnMg,I Fought Pokeaim?! Random Battles Race to the Top Episode 7!,"Jul 16, 2022",27.78,4.473,0:13:53,25527,5908.0284,45,114.181,241475,7.13
aHJyGxil4Sk,Top 30 Random Battles Gameplay,"Apr 4, 2024",51.51,5.958,0:11:29,25417,4869.2392,26,151.368,264046,6.4
Ur4dd1LScyA,You NEED To Use Espathra RIGHT NOW | Pokemon Scarlet and Violet Showdown LIVE,"Nov 29, 2022",33.35,5.419,0:08:00,25409,3389.6088,69,137.679,267228,6.65
g_qyyvXY_pc,HELP ME,"Aug 6, 2023",41.22,4.191,0:12:31,25389,5296.4627,37,106.382,248243,7.01
p4NSmQ-p3Ak,The Highest Rated Opponent AGAIN |  Random Battles to #1: Competitive Pokemon Showdown | Episode 24,"Apr 6, 2022",47.67,4.045,0:11:23,25367,4816.6045,79,102.615,272577,6.41
tri4s6Trzys,ALWAYS GO ALL OUT,"Apr 9, 2024",44.84,3.944,0:13:40,25350,5774.7909,16,99.869,189037,8.81
K8N6noDqW4Q,Ragequits | Random Battles Race to Top 10,"Aug 11, 2022",37.47,5.806,0:15:22,25095,6433.9616,35,145.7,319282,4.88
alZDKYUX5Bw,Random Battles Race to Top 10,"Aug 21, 2022",35.38,6.999,0:15:39,25092,6550.1643,36,175.611,369805,4.43
Fpwn1n4u2YU,Entering the Top 50?! | Pokemon Scarlet and Violet Random Battles,"Dec 21, 2022",42.8,4.116,0:11:03,24994,4609.2695,34,102.877,350395,4.98
gKyHtGReyWU,Timer Stalled by Salty Noob,"May 2, 2024",49.32,5.792,0:11:39,24979,4852.217,22,144.355,181639,9.19
wrlSjvf48_Q,Top 3 on the Pokémon Showdown Ladder,"Apr 28, 2024",46,6.389,0:14:29,24973,6031.3609,20,159.41,192951,8.42
eEQI-CfM4LY,IN THE TOP 20?!  | Random Battles to #1:  Pokemon Showdown | Episode 48,"May 9, 2022",49.41,6.074,0:11:53,24952,4948.6588,49,151.553,264456,6.75
A-It-2FfcUc,I AM THE 2500 NOW,"Apr 27, 2024",46.53,5.603,0:15:29,24903,6431.0364,20,139.309,170617,9.42
QVmJYEUsEXY,Bad Pokemon Turn Good |  Random Battles to #1: Competitive Pokemon Showdown | Episode 22,"Apr 4, 2022",49.42,5.662,0:11:24,24879,4730.4569,76,140.863,289054,5.92
9Gn9j5LPnA8,The Double Sacrifice Gambit,"Apr 5, 2024",58.56,4.193,0:06:40,24839,2763.5407,21,104.131,191837,9.06
QN8DuR5GwX4,The World Cup of Random Battles Continues!,"Aug 24, 2023",45.62,5.622,0:11:28,24817,4748.9514,43,139.474,283599,6.2
4sOLUdkmXFw,My Best Prediction in a While | Random Battles to #1 Pokemon | Episode 43 (Season 3 Episode 7),"May 2, 2022",45.03,4.917,0:11:54,24813,4925.237,50,121.996,294749,5.94
w1eWKv-Hajc,Hatterene is Incredibly Clutch Yet Again,"Apr 7, 2024",44.86,5.331,0:11:08,24750,4595.0148,14,131.845,229413,7.05
JSPJEWfc2ZE,Never Undestimate Kyogre... Also I played a 2485 Elo Player,"Jul 24, 2023",41.8,5.188,0:13:17,24729,5474.9438,46,128.224,294550,5.86
j8YBseRZKY0,The 2300s? |  Random Battles to #1: Competitive Pokemon Showdown | Episode 27,"Apr 9, 2022",47.99,5.066,0:11:52,24645,4875.3196,113,124.856,275310,6.1
5j5zJxIFgcU,Random Battles from Top 500 to Top 1: Competitive Pokemon Showdown | Episode 3,"Feb 25, 2022",47.44,4.298,0:09:27,24588,3875.1512,360,105.665,347526,4.76
QDxT2GY_DTY,Delibird is the CLUTCH GOD!,"Dec 4, 2023",45.63,6.623,0:13:52,24548,5675.6624,26,162.576,295384,6.39
SgbC7RIbZRw,The Highest Rated Opponent Yet |  Random Battles to #1: Competitive Pokemon Showdown | Episode 23,"Apr 5, 2022",48.63,5.069,0:11:01,24500,4503.8369,74,124.192,285300,5.94
yObCVJ455nY,How Chi-Yu Made Me Choke,"Dec 8, 2023",41.37,6.918,0:14:19,24432,5830.9047,26,168.896,294948,6.11
7rSGjzvqWLY,The Punisher of Greed,"Apr 8, 2024",41.79,4.851,0:10:23,24392,4224.9362,24,118.27,176160,9.04
GvO5J-wQzoY,GETTING CLOSER  | Random Battles Race to Top 10,"Aug 17, 2022",38.23,6.669,0:16:00,24357,6494.7086,36,162.449,337434,4.53
15zALZqjvJA,IN THE TOP 10 | Scarlet and Violet Random Battles to the Top,"Jan 19, 2023",50.5,4.159,0:11:38,24272,4708.7111,48,100.956,327166,5.2
2uPABrisDLY,"Who Wins, Calyrex-Shadow or Minun?","Apr 5, 2024",44.14,5.806,0:10:35,24259,4283.378,29,140.771,216897,7.5
vShEpLQytkQ,Playing a Top 10 Player |  |  Random Battles to #1:  Pokemon Showdown | Episode 44,"May 4, 2022",48.88,5.199,0:11:35,24247,4684.7112,62,126.06,275524,6.15
p7PTdjU07kU,I Fought the Lowest Tier's Strongest Pokemon...,"Mar 9, 2024",58.84,3.495,0:06:00,24189,2419.7714,19,84.522,183527,9.16
4rVUZldiTAw,Keep Moving Forward... |  Random Battles to #1: Competitive Pokemon Showdown | Episode 18,"Mar 11, 2022",47.98,4.554,0:09:23,24175,3785.7608,75,110.084,260411,6.46
s6sDykKkCT4,Freezai Malds vs Fissure Spammer,"Apr 7, 2023",91.65,1.161,0:00:34,24167,233.8031,26,28.067,152291,12.15
2BUeDRKAr10,MOVING BACK UP |  Random Battles to #1: Competitive Pokemon Showdown | Episode 36,"Apr 18, 2022",53.91,4.315,0:08:56,24112,3596.1656,80,104.044,293512,6.1
cIz7V6l2hNk,Tilt = Over? | Random Battles to #1:Competitive Pokemon|Episode 41 (Season 3 Episode 5),"Apr 24, 2022",50.55,3.53,0:09:59,24047,4004.6324,58,84.884,289828,5.96
dQvuEoI0oZE,Top 2 On The Pokémon Showdown Ladder,"Apr 29, 2024",56.33,5.871,0:10:52,24021,4352.4815,22,140.857,161567,10.09
_3ZL6GWWNOs,Salazzle Makes Opponent Rage Quit | Entering the Top 500! Pokemon Showdown Random Battles,"Jul 15, 2023",46.96,4.119,0:10:45,24018,4304.3371,36,98.901,252502,6.59
bF0n7JNftYs,Random Battles to the Top Continues!,"Sep 10, 2023",39.49,6.467,0:13:43,24016,5493.1634,36,155.317,297641,5.52
Snc_G0v4AUk,I Didnt' Expect to Make this Comeback...,"Apr 3, 2024",49.72,5.74,0:10:02,23934,4003.3049,19,137.327,215625,7.42
DhkkT_EEsjY,My Most Embarrassing Game Yet  |  Random Battles to #1: Competitive Pokemon Showdown | Episode 30,"Apr 12, 2022",49.84,4.844,0:10:13,23783,4053.4428,60,115.204,289311,5.92
syxTtxOHomI,Random Battles from Top 500 to Top 1: Competitive Pokemon Showdown | Episode 5,"Feb 26, 2022",45.73,4.259,0:10:08,23661,3997.3388,165,100.772,356938,4.3
LRo-2bmbgYU,I Challenged PokeaimMD... | Random Battles Race to the Top Episode 12,"Jul 30, 2022",30.87,4.828,0:16:56,23632,6671.2494,35,114.092,256493,5.9
9X0YTFJ9jnQ,Houndstone is Unfair... | Pokemon Scarlet and Violet Random Battles,"Dec 16, 2022",34.95,6.105,0:11:54,23597,4680.5143,31,144.05,247912,6.55
YsZhByt9MCM,I AM THE FIRE LORD NOW | SEASON 3 BEGINS  Random Battles to #1:  Pokemon Showdown | Episode 37,"Apr 20, 2022",52.43,4.518,0:09:29,23573,3731.8214,41,106.495,263658,6.52
nCOo67KFIvA,It's Time! Seviper To Top 10,"Aug 2, 2023",47.45,4.167,0:13:55,23464,5435.3484,29,97.755,241035,6.69
BaIrNe4thZs,Tera Water Water Spout Kyogre in the Rain,"Apr 16, 2024",52.52,5.454,0:08:59,23369,3504.5362,14,127.411,178404,8.95
6BEkOT0H9cA,| Random Battles Race to the Top! Freezai vs Pokeaim Episode 4,"Jul 12, 2022",38.98,4.263,0:14:08,23317,5498.1361,44,99.383,298221,4.97
TMM4KILReuY,Top 10 on the Random Battles Ladder? (Maybe),"Jan 11, 2023",45.64,4.688,0:12:03,23317,4688.7417,38,109.313,312576,5.19
N0DJ18pwAOk,"I Am Become Death, The Destroyer of Worlds - Iron Thorns, 2023","Aug 8, 2023",49.1,3.66,0:10:26,23289,4053.369,26,85.235,225428,7.15
atByuzouUCg,I Used The Famous Articuno Team... It's Great!,"Mar 9, 2024",27.28,4.878,0:09:45,23279,3786.1118,36,113.528,249022,6.11
cQhL5OPjVrk,How I Became the #1 DPP LC Player in the World,"Jun 24, 2024",14.34,4.788,0:15:32,23194,6004.3903,42,88.023,194683,7.61
uR4O2kPZhNg,Scyther is CRAZY Strong,"Dec 3, 2023",47.85,4.766,0:10:02,23131,3867.3872,26,110.244,243407,7.48
9pxn4IkjmKw,Never Understimate Swalot!,"Sep 14, 2023",43.61,5.531,0:13:52,23081,5334.2819,37,127.655,300443,5.07
BWm4CltmAy8,Cracking the Top 50!,"Apr 23, 2024",45.28,5.802,0:14:52,23055,5718.671,18,133.69,174863,8.39
M1xnlw0_RR4,Winning Streak? | Random Battles Race to the Top Episode 13,"Aug 1, 2022",38.74,5.851,0:16:48,23044,6456.7467,28,134.834,273862,5.5
Qyx3BsWuJls,Flamigo... No Mercy. Finish Him.,"Jul 28, 2023",44.24,5.945,0:12:55,23036,4958.8535,31,136.935,231304,6.92
J-g-JnV2J-g,2200 Elo Gameplay | Random Battles to The Top,"Apr 6, 2023",41.93,5.72,0:13:19,22946,5098.332,398,131.249,318576,4.92
FvzEmk2SB6k,"Made it to top 10, time to go even further","Aug 3, 2023",44.85,5.537,0:15:10,22926,5798.6696,39,126.9,268496,5.56
nb1aRnbazqc,Entering The Top 20... | Pokemon Showdown Random Battles,"Jul 25, 2023",46.62,5.32,0:12:04,22926,4616.278,63,121.95,267223,6.08
4bjWI_zIHcU,Felt Good Might Hit 2400 idk | Random Battles to #1:  Pokemon Showdown | Episode 50,"May 12, 2022",57.87,5.045,0:08:54,22848,3393.4802,42,115.268,276666,6.04
grQV_k3MNeE,Drought Ninetales vs Drizzle Kyogre,"Dec 2, 2023",44.65,4.722,0:12:07,22746,4595.4548,19,107.388,275553,6.36
sTQ2oMEJkxY,WE'RE WINNING AGAIN |  Random Battles Race to the Top Episode 8,"Jul 18, 2022",41.94,4.708,0:16:09,22552,6071.1828,51,106.175,274723,5.46
nNwFdWJCQSU,It's Not Over Till Oricorio Says So! Pokemon Showdown Random Battles,"Jul 14, 2023",42.92,5.525,0:14:54,22480,5588.1035,34,124.186,280983,5.27
U6CzQFZaTDY,Entering the 2200s? |  Random Battles to #1: Competitive Pokemon Showdown | Episode 21,"Apr 3, 2022",53.91,4.583,0:09:41,22262,3596.7666,89,102.028,285519,5.37
MA1ydefnBnU,2300 Elo?! |  Random Battles to #1:  Pokemon Showdown | Episode 45,"May 6, 2022",54.81,4.961,0:09:22,22246,3478.6156,61,110.371,252893,6.41
S_-Ip2enjzI,My Nemesis Returns...  |  Random Battles to #1: Competitive Pokemon Showdown | Episode 20,"Apr 2, 2022",52.11,4.427,0:09:48,22245,3635.348,72,98.484,275300,5.48
Xm3W7VYrRk0,Flutter Mane is Back and She is INSANE... Especially with Shed Tail Orthworm,"Jun 20, 2023",38.06,3.838,0:06:30,22119,2396.6472,48,84.888,221785,7.02
gQGMddeJ3zM,Never Underestimate the Magic of Cloyster's Shell Smash,"Apr 18, 2024",44.85,6.994,0:12:53,22104,4750.3947,118,154.505,181502,7.94
T8qhzwgSM9o,My Lucky Day,"Dec 6, 2023",49.99,6.935,0:10:52,22100,4004.1667,29,153.262,258053,6.69
hoKCTmVjhbs,NEVER UNDERESTIMATE... Sunflora?!  | Randbats to the Top,"Apr 2, 2023",49.26,4.727,0:08:50,22002,3245.2432,421,104.014,292670,5.25
VYIQbYEU5OU,Tatsugiri is SCARY,"Aug 23, 2023",51.8,4.007,0:11:05,21996,4063.4711,50,88.12,234620,6.72
eCb8529se-I,Toxapex Is The Greatest Stall Pokemon in Random Battles,"Jul 13, 2023",47.35,4.875,0:11:10,21995,4099.4224,39,107.23,230503,6.57
KV-cp1VyBZM,Fighting a 2500,"Apr 24, 2024",44.41,6.17,0:15:46,21988,5780.5186,11,135.523,156515,8.95
Q9idKV4PJic,Reaching Top 100? | Random Battles Race to Top 10,"Aug 15, 2022",38.93,6.696,0:15:17,21948,5593.9025,40,146.957,300077,4.74
RWXybV8jI2c,Never Give Up Too Early!,"Apr 11, 2024",55.73,6.376,0:10:43,21887,3910.1322,20,139.514,191463,7.82
fh0EsVH4ATs,Cracking the Top 100 on Pokemon Showdown!,"Apr 21, 2024",50.47,5.687,0:11:36,21708,4200.1384,25,123.411,182775,7.91
Ya76R-2WMiY,Never Give Up Too Early!,"Jan 9, 2024",43.61,4.394,0:14:24,21666,5204.2452,27,95.153,244986,6.51
8uQufLplCRc,Live Top 50 Wo-Chien Reaction,"Jul 27, 2023",42.66,5.707,0:11:31,21599,4149.2649,34,123.27,202006,7.59
QtAdgjWcJGI,REACHING 2300 AGAIN | Randbats Road to Top 10,"Aug 23, 2022",37.77,7.19,0:15:22,21585,5530.3311,32,155.206,324921,4.4
WveWYFqFD50,Finally! We Aren't Losing Every Game |  Random Battles to #1:  Pokemon Showdown | Episode 46,"May 7, 2022",55.51,4.855,0:10:15,21534,3679.0674,54,104.558,219672,7.09
BGGCA95Z-oo,Tera Water Choice Band Basculin is CRAZY!,"Aug 7, 2023",51.69,4.968,0:12:40,21479,4539.6836,26,106.683,237050,6.34
dPDnxz3D_0M,randbats4 1,"Apr 1, 2024",44.79,4.821,0:11:15,21477,4029.6563,22,103.514,209822,6.72
3ZN6EoJs-g4,Need To Beat Mewtwo To Enter The Top 200... Pokemon Showdown Random Battles,"Jul 16, 2023",51.42,3.255,0:10:50,21396,3865.616,38,69.632,215941,6.83
gTtwxH5iiME,Flutter Mane The Clutch GOD | Pokemon Scarlet and Violet Random Battles,"Dec 18, 2022",43.08,4.627,0:10:30,21394,3745.395,30,98.987,288266,5.18
DVKnWwAvYsQ,Climbing Towards Top 50 |  |  Random Battles to #1:  Pokemon Showdown | Episode 45,"May 5, 2022",46.03,6.07,0:13:03,21388,4657.1556,33,129.82,237894,6.14
bs5TE5rA8LM,This Is Why I Don't Shut Up About Mienfoo,"Dec 16, 2021",36.35,3.542,0:05:41,21360,2027.4774,61,75.651,171269,8.81
zcUIhBbAeX0,No One Said That High Ladder is Easy... | Random Battles to #1:  Pokemon Showdown | Episode 48,"May 10, 2022",43.42,4.893,0:10:28,21285,3715.0032,33,104.158,195524,7.84
0pUmKsAH01k,A Suprising Gift in the 2200s?... | Pokemon Showdown Random Battles,"Jul 18, 2023",46.6,4.692,0:12:23,21253,4387.7846,28,99.691,249584,5.73
pJ2aGLfmVgE,Shiny Solgaleo!,"Apr 10, 2024",57.36,5.451,0:08:37,21225,3053.6778,14,115.649,163968,9
WZISMTqTzVo,The Most Heartbreaking Game | Random Battles to #1 Pokemon | Episode 42 (Season 3 Episode 6),"May 1, 2022",47.59,4.131,0:09:33,21205,3377.0258,61,87.602,285714,5.28
_b90CbXCnq0,NEVER Give Up Too Early! Pokemon Showdown Random Battles,"Aug 5, 2023",49.01,4.688,0:11:16,20984,3944.8109,38,98.372,214215,6.76
2VfLitbku38,Trying to Stay Undefeated | World Cup of Random Battles Pokemon,"Aug 8, 2022",42.3,4.87,0:13:06,20981,4583.9981,30,102.169,343962,4.12
Y3VblmDLLW8,Random Battles from Top 500 to Top 1: Competitive Pokemon Showdown | Episode 7,"Feb 28, 2022",51.81,4.218,0:08:55,20907,3108.3407,158,88.187,337969,3.96
6rC0WtR3wiI,I Played Gen 5 in the Little Cup Premier League...,"Aug 3, 2023",51.38,3.34,0:07:37,20871,2654.2875,34,69.7,197442,7.74
dAKPqlLjZ84,Annihilaping the 2400s,"Apr 25, 2024",53.65,6.615,0:11:46,20834,4085.8056,14,137.714,147267,9.34
yWnPpu6RZtI,The Most Clutch Play of All Time | 2200 Elo | Random Battles to The Top,"Apr 7, 2023",50.08,4.216,0:11:05,20828,3850.4957,33,87.788,255125,5.73
7qbNNYWTdDE,I Played RBY PU,"Mar 16, 2024",53.01,3.613,0:05:44,20818,1992.3971,11,75.203,190929,7.37
23Rr2MpJYwk,Wugtrio Saves Me Yet Again,"Apr 12, 2024",53.55,6.136,0:10:37,20767,3678.8515,10,127.353,170146,8.2
WNd9bWlcx5s,Fighting for My Life | Random Battles Race to the Top! Freezai vs Pokeaim Episode 3,"Jul 10, 2022",38.68,4.574,0:12:21,20694,4260.45,51,94.643,220383,6.35
uzTKbvyvHqc,Spectrier is a Nightmare....,"Aug 4, 2023",47.06,4.63,0:11:51,20690,4087.1079,26,95.798,215965,6.76
AMCr4iG4u7M,Training For a $1000 Fakemon Tournament Part 2,"Sep 23, 2022",32.3,6.408,0:10:03,20618,3457.5963,43,132.124,256124,5.73
MOw4JuKrai4,Unlucky | Random Battles Race to Top 10,"Aug 13, 2022",38.45,4.778,0:15:16,20500,5220.2097,35,97.955,297036,4.38
EeRFTS5AaOo,Cinderace | 2150 Elo | Random Battles to The Top,"Apr 11, 2023",46.58,5.271,0:11:15,20498,3848.3282,28,108.028,235372,6.17
Kn7iq1HDxY8,YOU WON'T BELIEVE,"Jul 22, 2023",48.17,3.61,0:11:54,20477,4066.2536,54,73.914,203795,6.8
1Wld7Ugcdd8,Moving Back Up |  Random Battles to #1: Competitive Pokemon Showdown | Episode 25,"Apr 7, 2022",53.22,3.282,0:10:04,20438,3432.0942,73,67.07,269338,5.27
yiw9dGuki6o,Reaching 1900 with ADRENALINE ORB Kartana on Pokemon Showdown,"Sep 21, 2021",37.53,3.36,0:07:00,20395,2383.3712,43,68.527,201802,7.12
T2b96nU3R0A,Slow And Steady...  |  Random Battles to #1: Competitive Pokemon Showdown | Episode 35,"Apr 17, 2022",51.26,4.568,0:09:00,20373,3060.5453,48,93.057,233243,6.45
6-YzlbEoGHs,Can We Reach #1?  Pokemon Showdown Random Battles to the top,"Jan 24, 2023",51.45,3.308,0:07:37,20266,2577.6212,32,67.035,190878,7.51
SiSs_pfjEJ8,India vs Pakistan in the World Cup of Random Battles...,"Aug 25, 2023",57.61,4.852,0:09:19,20230,3143.3618,22,98.156,217442,6.63
iyNOawGlD98,More DLC Random Battles!,"Sep 18, 2023",46.38,6.098,0:11:14,20184,3783.7697,30,123.076,241250,5.88
LBKie7yCMHM,Dunsparce... | 2200 Elo | Random Battles to The Top,"Apr 8, 2023",45.32,5.107,0:09:42,20183,3264.6536,31,103.084,279821,5.21
x6LGHk1-Zt4,Breaking Top 50 | Random Battles to The Top,"Apr 5, 2023",50.88,2.838,0:10:10,20005,3390.0092,48,56.78,293385,4.83
AuiYl1NaN4M,Chokes on Chokes on Chokes | Random Battles to #1:Competitive Pokemon|Episode 40 (Season 3 Episode4),"Apr 23, 2022",46.63,4.34,0:09:42,19940,3226.2005,33,86.534,195144,7.47
Vv2ewQqyU74,Random Battles from Top 500 to Top 1: Competitive Pokemon Showdown | Episode 4,"Feb 26, 2022",44.46,4.675,0:11:03,19830,3656.565,218,92.706,317957,3.9
SvBz96Zzbpo,Unplayable Matchups... |  Random Battles Race to the Top Episode 9,"Jul 20, 2022",43.14,5.253,0:14:23,19817,4754.6994,51,104.094,231347,5.87
QS2NaoGwykI,IRON JUGULIS CANNOT BE TRUSTED | Pokemon Showdown Random Battles,"Jul 17, 2023",45.54,3.844,0:12:46,19651,4185.7147,29,75.536,219762,5.95
GzNXt2Tf_wM,FIGHTING HIGH RATED PLAYERS  |  Random Battles Race to the Top Episode 11,"Jul 26, 2022",42.88,4.975,0:15:25,19580,5032.9902,38,97.413,232980,5.61
9HtF1HqHKn0,Ogerpwning the 2400s!,"Apr 26, 2024",55.12,5.849,0:10:17,19506,3348.0806,16,113.981,160786,8.05
uto7m46cpjk,I Played in a Halloween Pokémon Showdown Tournament...,"Nov 1, 2022",32.74,5.272,0:09:06,19501,2961.9473,95,102.813,211018,6.54
fcshP_566mM,The Little Farigiraf That Could...,"Apr 19, 2024",50.99,6.558,0:10:49,19458,3510.8887,97,127.547,153328,8.57
FpiPLV4YblM,Volcarona IS A GOD,"Jan 25, 2022",32.3,2.802,0:07:34,19416,2449.5532,66,54.398,212803,6.36
EKd-aNXoLMg,randbats7_19,"Jul 19, 2023",42.92,3.477,0:10:54,19405,3526.0466,35,67.471,219443,6.08
vrxAvNouvU0,Random Battles Race to the Top Episode 12,"Jul 28, 2022",38.59,6.628,0:15:55,19368,5142.6487,32,128.364,258101,4.96
6tbUReUVE6g,My Most Embarassing Mistake Yet... | Pokemon Scarlet and Violet Random Battles,"Dec 27, 2022",48.49,4.034,0:09:05,19360,2933.6112,27,78.097,234714,5.76
B5MOUI5ETo0,He Used 4 FIRE TYPES? Smogon Champion's League Week 1,"Sep 8, 2022",26.25,2.491,0:06:11,19318,1993.5189,56,48.114,161333,8.76
ojZJ1LVkPFw,"""Just One More Game""","Apr 17, 2024",46.8,6.796,0:12:55,19267,4152.6878,15,130.862,149898,8.31
YH6Ig8gYwcM,Bangladesh Used STALL vs Me in the World Cup of Pokemon 2022,"May 11, 2022",28.77,3.831,0:07:01,19244,2255.7447,31,73.722,177320,7.8
U4XhY7dZa80,Crazy Movesets in the World Cup of Pokemon Finals | Game 2,"Jul 17, 2022",55.17,2.667,0:07:25,19186,2375.6603,44,51.162,198482,6.89
tVuW-IBdxGk,@Blimaxx vs Stall: If India Wins They Go to Next Round of World Cup of Pokemon,"May 16, 2022",69.15,2.169,0:02:32,18715,794.4574,21,40.585,191477,7.18
jeXOod4BfNs,So I Played The Little Cup Champion on Pokemon Showdown....,"Jun 7, 2021",43.02,2.899,0:05:44,18714,1793.3568,118,54.239,172576,7.44
cSRO9t6EMyM,DYNAMAX TOXAPEX | Random Battles Race to Top 10,"Aug 3, 2022",38.39,5.613,0:14:42,18669,4578.7415,12,104.784,278110,4.53
 -ENIOEIh7h4,Entering the Top 15!,"Jul 26, 2023",55.93,4.399,0:10:37,18476,3272.5869,26,81.277,187333,7
MOinpleihI4,Snatching Defeat From The Jaws of Victory...,"Jul 29, 2023",50.54,4.703,0:12:39,18404,3883.3411,11,86.522,197740,6.54
e9iZVOAo860,Random Battles from Top 500 to Top 1: Competitive Pokemon Showdown | Episode 8.5,"Mar 2, 2022",58.68,2.831,0:06:02,18281,1838.4327,268,51.751,244369,4.97
7EzBpIMZoLU,The Unbreakable Milotic! World Cup of Random Battles Pokemon,"Aug 2, 2022",43.5,4.252,0:11:05,18258,3375.2601,36,77.627,256326,5.04
L83mOm877AM,| Random Battles Race to the Top! Freezai vs Pokeaim Episode 5,"Jul 14, 2022",38.96,4.486,0:11:07,18210,3377.5824,35,81.683,179928,6.77
ozEl2Qge64k,I Love Dynamaxing |  Random Battles to #1:  Pokemon Showdown | Episode 43,"May 3, 2022",57.11,4.143,0:09:42,18152,2937.0536,37,75.207,220191,5.97
9KJpUXO6BxE,India Used Stall AGAIN in World Cup of Pokemon 2022,"May 11, 2022",49.27,2.464,0:07:39,18141,2314.1867,42,44.694,185171,7.16
lF5bN3gvS1k,NEVER Trigger Armarouge's Weak Armor... Showdown Random Battles,"Jul 12, 2023",50.45,5.437,0:11:42,18122,3535.3775,182,98.515,192550,6.35
qZBDVxexQ5A,The World Cup of Random Battles Begins!,"Jul 31, 2022",44.34,4.541,0:11:35,18064,3491.2056,26,82.016,209244,5.83
ZIdRpDBUU58,Chi-Yu Sun GOES UNDEFEATED? Top Ladder Gameplay | Pokemon Showdown Scarlet and Violet LIVE,"Dec 11, 2022",33.57,3.678,0:09:31,17979,2855.1417,30,66.115,240258,5.05
mF8tBFRzf14,EVERY Game Was SO Close.... | Pokemon Scarlet and Violet Random Battles,"Dec 16, 2022",43.19,5.515,0:11:44,17891,3500.4273,21,98.677,245928,4.97
vJ3XHuI1JXI,Random Battles but actually LIVE,"Sep 8, 2023",41.7,4.274,0:13:23,17889,3993.1695,15,76.445,202930,6.03
7zXAvYrryJs,My Top of the Table Match in World Cup of Pokemon 2022,"May 12, 2022",51.71,3.198,0:04:36,17802,1368.0203,29,56.934,211605,6.01
A7ePP1zZExw,So I Played the Best French LC Player...,"Jan 18, 2022",44.31,2.562,0:06:28,17678,1908.3685,71,45.276,174074,6.5
OfUv9QYjZiM,Dragon Dance Roaring Moon! Top 100 Gameplay | Pokemon Showdown Scarlet and Violet LIVE,"Dec 12, 2022",35.05,4.351,0:09:20,17501,2724.488,29,76.155,218298,5.39
fszG2-ZzBuI,Still Climbing... |  Random Battles Race to the Top Episode 10,"Jul 24, 2022",40.73,5.061,0:14:36,17430,4244.174,22,88.214,198681,5.77
AIkhtnm0oH0,randbats4_20,"Apr 20, 2024",53.14,4.581,0:09:15,17393,2685.4082,18,79.673,137481,8.49
X6oUyoYb3AY,Randbats are Back! (kinda),"Mar 19, 2023",39.02,3.692,0:07:11,17383,2081.9513,54,64.175,183113,6.82
8oexPlzwAoE,#4 On The Ladder! Road to Number 1 Pokemon Scarlet and Violet,"Jan 20, 2023",58.21,2.774,0:10:42,16961,3027.8598,32,47.054,218886,5.49
KeFQcalH29o,Porygon-Z Rain!,"Jan 26, 2022",43.56,3.384,0:07:27,16684,2073.2001,81,56.465,228271,5.01
IaIbQzFspW8,Pokemon Showdown: Using Hail to CRUSH The Best Little Cup Player,"Sep 24, 2021",63.53,2.103,0:04:24,16613,1219.6946,62,34.935,149337,7.78
BH_iYnH0FkU,Oricorio is a Menace! | Pokemon Showdown Random Battles to The Top,"Mar 31, 2023",52.3,3.828,0:07:22,16549,2036.3128,38,63.342,204794,5.78
xAnIDbdtbig,The Final Game? Game 7 World Cup of Pokemon Finals,"Jul 25, 2022",48.65,3.345,0:07:30,16277,2039.0708,17,54.439,180379,6.65
whUNfS-EhqY,The PU Tier Is Filled With Sand Teams... | Smogon Champion's League Week 1,"Sep 11, 2022",57.13,2.984,0:04:23,16214,1188.6924,42,48.376,175112,6.46
eeBET3JD5bg,I Used Hawlucha vs the #1 OU Player on Pokemon Showdown,"Sep 19, 2021",53.48,2.165,0:04:23,16005,1172.0878,68,34.655,134014,8.59
lINJP9NBWt4,BDSP OU: Salac Berry Manaphy is INSANE | Manaphy Suspect Test,"Jan 14, 2022",33.74,3.925,0:08:54,15938,2367.7501,160,62.55,192069,5.53
QheaqJ_1s0o,A Close Endgame in the  World Cup of Pokemon Finals | Game 3,"Jul 17, 2022",45.24,3.339,0:09:10,15868,2424.7601,24,52.991,185615,5.91
NEdnU7sIgFA,Can France Win it All? Game 8 World Cup of Pokemon Finals,"Jul 26, 2022",53.03,3.39,0:07:48,15648,2037.4863,28,53.031,173780,6.57
q35-Oap_HEE,Cracking 2000 ELO! (Maybe) | Random Battle to the Top,"Apr 4, 2023",50.96,5.921,0:11:47,15344,3016.7783,34,90.847,226854,4.63
TSLuG4O6840,How India Did In the 1st Week of Playoffs of the Little Cup World Cup,"Jan 17, 2022",37.17,3.028,0:06:05,15324,1556.946,52,46.405,211113,4.83
